City,Date,Temperature,Feels Like,Description_old,Humidity,Wind Speed,Cloudiness,Pressure,Temperature_new,Humidity_new,Wind Speed_new,Cloudiness_new,Pressure_new,Description_new,Polynomial_Regression_Prediction,Actual_Description
Toronto,2024-05-26,59.76,59.52,clear sky,87,7.45,0,1011,58.59,52,13.13,11,1017,4.45,4.742691625247517,few clouds
Toronto,2024-05-27,61.38,60.84,overcast clouds,77,10.27,100,1010,55.54,93,12.03,100,1010,3.7,3.7713478932455473,light rain
Toronto,2024-05-28,64.89,65.26,light rain,89,9.71,100,996,66.74,45,4.7,2,1012,3.97,3.142776983309432,clear sky
Toronto,2024-05-29,55.13,53.78,overcast clouds,73,17.29,100,999,53.87,95,7.85,1,1012,2.95,3.857662474325025,clear sky
Toronto,2024-05-30,51.94,50.41,overcast clouds,76,13.15,100,1011,56.75,74,6.91,29,1018,2.75,2.268748674370727,scattered clouds
Montreal,2024-05-26,59.32,58.8,light rain,82,1.1,100,1010,55.42,96,5.26,100,1002,3.01,2.967030312209772,overcast clouds
Montreal,2024-05-27,59.18,58.28,overcast clouds,74,8.9,89,1016,58.55,71,10.96,70,1012,0.92,3.1146666014424227,broken clouds
Montreal,2024-05-28,58.32,58.41,light rain,97,8.25,100,1004,52.03,55,7.52,80,1004,3.72,6.324261208400458,broken clouds
Montreal,2024-05-29,60.71,60.15,clear sky,78,9.69,5,1000,54.43,70,5.86,61,1014,0.79,2.583169288018325,broken clouds
Montreal,2024-05-30,52.79,52.23,light rain,95,2.86,100,1003,59.76,87,7.45,0,1011,2.68,3.059503099599624,clear sky
Vancouver,2024-05-26,54.43,52.86,broken clouds,70,5.86,61,1014,61.75,61,10.22,100,1003,4.86,5.177341096255077,overcast clouds
Vancouver,2024-05-27,49.15,46.24,light rain,94,6.87,100,1020,41.94,93,9.46,100,1006,3.63,2.045789066890848,overcast clouds
Vancouver,2024-05-28,57.76,56.86,overcast clouds,77,3.71,100,1019,55.9,67,14.83,95,1007,3.81,4.4810724167359695,overcast clouds
Vancouver,2024-05-29,50.4,49.51,light rain,93,4.79,100,1019,46.99,80,2.48,22,1023,2.28,1.323801830472803,few clouds
Vancouver,2024-05-30,54.32,52.61,few clouds,67,6.13,23,1022,53.67,98,10.07,100,1011,3.4,3.755596040796263,overcast clouds
Calgary,2024-05-26,49.37,48.69,light rain,80,3.31,100,1000,51.94,76,13.15,100,1011,4.41,3.977724905318155,overcast clouds
Calgary,2024-05-27,51.04,49.57,light rain,79,3.11,88,1009,53.28,58,4.88,52,1009,5.12,4.0738343815401095,broken clouds
Calgary,2024-05-28,57.99,56.35,overcast clouds,61,6.98,88,1012,54.86,56,5.14,41,1017,5.25,3.684464757588557,scattered clouds
Calgary,2024-05-29,61.75,60.49,overcast clouds,61,10.22,100,1003,57.76,77,3.71,100,1019,3.51,3.211480256156392,overcast clouds
Calgary,2024-05-30,46.06,42.04,light rain,85,7.83,100,1009,50.25,82,4.99,93,1009,3.06,2.506461659496836,light rain
Edmonton,2024-05-26,53.37,51.37,overcast clouds,63,5.86,97,1001,79.81,87,2.19,100,1010,3.21,4.25811835637478,overcast clouds
Edmonton,2024-05-27,54.5,53.31,light rain,78,3.65,97,1008,41.45,82,12.37,100,1024,4.65,4.0967494503720445,overcast clouds
Edmonton,2024-05-28,58.55,57.43,broken clouds,71,10.96,70,1012,57.96,89,12.01,100,1014,4.22,4.025024271451457,overcast clouds
Edmonton,2024-05-29,65.35,64.6,overcast clouds,64,6.98,97,1003,60.71,85,4.63,4,1010,2.12,2.109315931473702,clear sky
Edmonton,2024-05-30,46.72,40.86,light rain,93,13.51,100,1006,52.48,85,17.2,100,1010,3.76,3.8811911588582007,overcast clouds
Ottawa,2024-05-26,56.01,55.78,light rain,95,1.97,99,1011,49.37,80,3.31,100,1000,2.99,3.085808520957471,light rain
Ottawa,2024-05-27,57.96,57.63,overcast clouds,89,12.01,100,1014,67.42,85,5.55,4,1011,2.37,2.4019643552728667,clear sky
Ottawa,2024-05-28,59.54,59.79,light rain,98,8.9,100,1000,53.02,95,3.91,55,1017,1.56,2.1419551815924933,broken clouds
Ottawa,2024-05-29,57.99,57.02,light rain,75,18.79,98,997,52.79,95,2.86,100,1003,2.94,2.436566794751343,light rain
Ottawa,2024-05-30,53.76,53.31,light rain,95,9.22,100,1004,60.03,77,16.08,99,1001,4.45,3.499541359723935,overcast clouds
